 Environment Timesteps  Return Mean   Return Std
                   0.0   -15.862500   117.479645
                1000.0   -64.410667   118.713272
                2000.0   -54.723333   105.919184
                3000.0   -47.059000    93.428832
                4000.0   -41.044667    85.800062
                5000.0   -42.794833    80.048634
                6000.0   -44.691000    80.554998
                7000.0   -41.621167    65.496611
                8000.0   -38.065500    63.692983
                9000.0   -43.204667    63.715582
               10000.0   -44.581667    62.885819
               11000.0   -46.142500    60.311529
               12000.0   -48.757000    68.306914
               13000.0   -42.245333    72.746649
               14000.0   -54.178333    86.881604
               15000.0   -62.984500   100.568034
               16000.0   -72.196833   112.120474
               17000.0   -85.076333   125.682373
               18000.0   -82.635833   126.645267
               19000.0   -95.746833   133.322851
               20000.0   -96.941500   134.761552
               21000.0   -96.502333   137.565786
               22000.0   -94.606667   139.309672
               23000.0   -89.019667   140.031727
               24000.0   -91.482833   141.418093
               25000.0  -111.411333   158.970090
               26000.0  -119.644333   168.590916
               27000.0  -123.748833   179.227372
               28000.0  -129.096000   187.271598
               29000.0  -124.862333   187.547297
               30000.0  -127.353000   191.749760
               31000.0  -120.153667   185.631382
               32000.0  -111.560833   177.663257
               33000.0  -125.595167   178.659277
               34000.0  -113.322833   167.671686
               35000.0  -107.049500   160.903234
               36000.0  -107.843333   164.577357
               37000.0   -94.848167   148.797659
               38000.0   -96.577500   149.754572
               39000.0   -94.492167   150.120078
               40000.0   -95.693833   154.696140
               41000.0   -96.446667   157.660097
               42000.0  -105.560167   174.545394
               43000.0  -102.207667   183.841327
               44000.0   -87.035667   206.816027
               45000.0   -62.261667   190.052271
               46000.0   -46.691500   174.899247
               47000.0   -36.167000   163.209819
               48000.0   -24.689833   162.916745
               49000.0   -20.992000   163.613158
               50000.0   -23.272500   174.562720
               51000.0   -21.269500   178.508632
               52000.0   -21.376667   184.629533
               53000.0   -25.966333   202.585810
               54000.0   -14.697000   210.972421
               55000.0    -2.918833   204.950198
               56000.0    10.035667   196.075828
               57000.0    21.951333   212.138705
               58000.0    37.242833   237.345335
               59000.0    49.635333   239.117334
               60000.0    83.670167   253.771963
               61000.0   121.849000   270.435903
               62000.0   143.404500   274.059995
               63000.0   159.543000   284.965594
               64000.0   180.223667   287.852772
               65000.0   211.004333   310.027834
               66000.0   237.220167   335.883382
               67000.0   275.893667   389.898335
               68000.0   341.107333   442.177762
               69000.0   354.102667   459.227912
               70000.0   396.023500   496.086788
               71000.0   410.326833   507.827993
               72000.0   433.352667   515.154483
               73000.0   497.542167   525.447523
               74000.0   523.662833   533.034979
               75000.0   545.930833   562.996791
               76000.0   603.573833   599.095020
               77000.0   643.226333   622.503631
               78000.0   699.144000   642.001232
               79000.0   737.225500   665.003273
               80000.0   734.108333   658.758361
               81000.0   715.986000   653.956147
               82000.0   738.476667   663.976120
               83000.0   735.161667   662.017481
               84000.0   752.982833   685.861003
               85000.0   759.490500   708.267419
               86000.0   748.749667   682.405493
               87000.0   783.566833   678.735434
               88000.0   776.555667   660.464253
               89000.0   865.965500   665.106673
               90000.0   898.838500   665.210608
               91000.0   931.730000   680.376725
               92000.0   951.800500   688.884249
               93000.0   975.213000   704.945089
               94000.0  1026.762500   746.339666
               95000.0  1081.510333   761.405887
               96000.0  1095.727833   763.653780
               97000.0  1104.868000   776.450921
               98000.0  1132.405667   799.734575
               99000.0  1182.210833   815.953397
              100000.0  1235.619000   877.010102
              101000.0  1312.508833   928.320151
              102000.0  1354.928667   977.490197
              103000.0  1390.247333  1007.427325
              104000.0  1413.605167  1014.706818
              105000.0  1466.353833  1038.274067
              106000.0  1536.383333  1096.879824
              107000.0  1564.741833  1084.446478
              108000.0  1582.328333  1106.299262
              109000.0  1577.414333  1133.965481
              110000.0  1613.322167  1114.638751
              111000.0  1663.819667  1131.003591
              112000.0  1748.425000  1146.788830
              113000.0  1784.552833  1158.888365
              114000.0  1838.790833  1166.693962
              115000.0  1898.225833  1199.013947
              116000.0  1961.429667  1233.597799
              117000.0  2000.570000  1241.523331
              118000.0  2029.780667  1221.537618
              119000.0  2019.358333  1220.616632
              120000.0  2065.685500  1185.096280
              121000.0  2036.018167  1126.794037
              122000.0  2047.339500  1095.974068
              123000.0  2050.490833  1078.377683
              124000.0  2057.396667  1081.519211
              125000.0  2049.237667  1024.672442
              126000.0  2111.632667   989.559780
              127000.0  2140.390500   990.208137
              128000.0  2174.263833   945.201789
              129000.0  2206.147000   924.108243
              130000.0  2197.797833   915.415892
              131000.0  2243.885833   929.911424
              132000.0  2271.591667   910.281777
              133000.0  2325.502500   881.926314
              134000.0  2296.329500   889.538944
              135000.0  2312.286167   848.409292
              136000.0  2330.800000   803.313994
              137000.0  2378.759500   770.320854
              138000.0  2428.464333   755.332680
              139000.0  2468.101000   755.495358
              140000.0  2484.385833   775.135654
              141000.0  2593.116167   810.415929
              142000.0  2654.988833   804.403034
              143000.0  2739.403667   828.842062
              144000.0  2824.265333   794.775336
              145000.0  2904.547500   821.422969
              146000.0  2880.133667   851.309835
              147000.0  2867.417667   872.943583
