 Environment Timesteps  Return Mean   Return Std
                     0   -54.329000   136.619114
                  1000  -104.681000   137.263454
                  2000   -64.496333   123.340875
                  3000   -50.134000   105.699549
                  4000   -31.627833    91.708162
                  5000   -24.430000    85.851680
                  6000   -28.806500    79.510393
                  7000   -33.286667    68.339088
                  8000   -31.239500    67.457257
                  9000   -23.565500    67.559105
                 10000   -20.487667    65.853689
                 11000    -6.484667    54.847844
                 12000    -4.731167    53.282330
                 13000    -5.643167    50.909930
                 14000    -2.691333    45.013403
                 15000     1.139333    39.390544
                 16000     3.711000    35.615939
                 17000     4.234667    35.891882
                 18000     5.085833    36.759423
                 19000    13.181333    43.714379
                 20000     8.375667    47.412386
                 21000     4.534333    51.102474
                 22000    11.546500    60.122911
                 23000    16.626000    65.834384
                 24000    20.129333    66.411305
                 25000    20.916667    66.093777
                 26000    27.567000    62.928178
                 27000    24.612667    66.477975
                 28000    18.523833    63.497218
                 29000    12.952500    60.771863
                 30000    12.054500    58.797491
                 31000     5.853667    55.410428
                 32000     7.489333    55.210010
                 33000    11.213000    54.038545
                 34000    12.335500    54.743090
                 35000    13.632167    55.842320
                 36000    14.899667    55.912110
                 37000    16.776667    57.103163
                 38000    18.310500    56.381263
                 39000    13.428000    49.366883
                 40000    24.214000    49.534420
                 41000    29.560667    46.384017
                 42000    26.182167    40.067031
                 43000    23.758000    35.473036
                 44000    34.177667    47.498549
                 45000    37.403833    48.094427
                 46000    48.666000    55.416574
                 47000    65.424333    59.771158
                 48000    76.477667    65.334674
                 49000   103.367167    94.159822
                 50000   133.222000   128.735660
                 51000   150.792833   142.742101
                 52000   180.584333   157.206834
                 53000   217.416667   192.776574
                 54000   263.981833   239.645548
                 55000   312.011333   252.338609
                 56000   358.069167   296.919137
                 57000   402.717500   331.096440
                 58000   440.129667   358.504361
                 59000   490.408833   396.202020
                 60000   565.725000   429.848064
                 61000   615.821833   447.733883
                 62000   665.145833   478.570463
                 63000   765.498333   498.936700
                 64000   818.050833   519.445664
                 65000   865.242833   547.801272
                 66000   942.792333   570.622071
                 67000  1025.718000   586.576768
                 68000  1104.391833   602.619513
                 69000  1155.917833   606.247821
                 70000  1189.078333   618.700575
                 71000  1253.822500   638.360570
                 72000  1272.265000   648.266046
                 73000  1304.618833   660.602746
                 74000  1328.507000   652.629074
                 75000  1393.163833   660.072066
                 76000  1415.361167   654.975825
                 77000  1495.929833   644.573029
                 78000  1565.581167   637.910279
                 79000  1615.161000   635.479872
                 80000  1651.169667   611.441009
                 81000  1726.560167   613.057257
                 82000  1772.283500   621.694732
                 83000  1757.948333   635.681857
                 84000  1795.278667   629.196363
                 85000  1869.827333   605.047896
                 86000  1883.032000   597.083624
                 87000  1909.384667   606.006162
                 88000  1932.430000   609.000322
                 89000  1943.810000   607.872917
                 90000  2001.329833   586.189467
                 91000  2007.125833   572.464677
                 92000  2060.387833   581.022187
                 93000  2119.040667   554.798794
                 94000  2197.493333   526.798508
                 95000  2218.741000   544.406044
                 96000  2248.842833   530.136628
                 97000  2272.235500   541.517945
                 98000  2281.782333   528.662538
                 99000  2286.394667   496.446723
                100000  2290.987833   523.517710
                101000  2273.043833   523.627978
                102000  2261.129500   525.910529
                103000  2297.783667   532.630154
                104000  2330.538000   513.651534
                105000  2326.421500   556.971187
                106000  2340.720833   584.679538
                107000  2336.596500   577.634653
                108000  2269.791333   557.460198
                109000  2264.444333   547.982847
                110000  2213.299000   565.455734
                111000  2236.702833   607.019971
                112000  2252.104667   616.754811
                113000  2236.609333   619.960287
                114000  2194.756667   634.310406
                115000  2186.491833   631.589152
                116000  2214.896000   657.349379
                117000  2184.328833   677.950328
                118000  2213.494667   702.528596
                119000  2259.334167   724.202959
                120000  2288.955167   693.858822
                121000  2358.202500   681.246213
                122000  2416.519333   669.722095
                123000  2449.795833   641.401923
                124000  2486.056000   659.541150
                125000  2530.096000   631.550501
                126000  2588.100333   596.797636
                127000  2614.868500   587.754753
                128000  2706.698500   613.202620
                129000  2778.640500   607.500372
                130000  2879.730000   570.420461
                131000  2917.467500   510.883496
                132000  2975.119167   485.050809
                133000  2982.776500   504.711751
                134000  3049.254667   491.157841
                135000  3080.470167   487.013884
                136000  3127.256167   455.945002
                137000  3169.329000   452.236475
                138000  3156.673667   457.548327
                139000  3178.840833   453.077685
                140000  3208.339333   464.292170
                141000  3189.099167   465.348459
                142000  3235.239167   456.889381
                143000  3218.582667   460.557205
                144000  3242.242000   444.304795
                145000  3272.806333   429.102968
                146000  3276.981667   440.328533
                147000  3323.038000   426.686167
                148000  3381.915833   408.005298
                149000  3365.391167   412.995961
                150000  3388.550167   425.546367
                151000  3417.931667   448.151437
                152000  3439.370333   432.473828
                153000  3504.711500   406.082650
                154000  3501.978667   412.826844
                155000  3529.266333   393.653542
                156000  3518.671667   395.794659
                157000  3537.035333   372.260681
                158000  3589.764833   358.334244
                159000  3572.049667   369.617134
                160000  3592.077667   360.739995
                161000  3625.799833   372.041074
                162000  3598.204667   356.302427
                163000  3644.410833   364.360930
                164000  3631.928500   368.562886
                165000  3628.394667   374.340048
                166000  3624.009500   364.357198
                167000  3613.562667   380.977939
                168000  3605.741167   374.361249
                169000  3638.439833   358.388532
                170000  3632.227333   359.593252
                171000  3588.508500   366.812333
                172000  3553.980667   374.926475
                173000  3562.577167   375.604665
                174000  3574.771167   365.777238
                175000  3569.941500   355.873227
                176000  3597.121833   366.175232
                177000  3602.257667   339.837351
                178000  3603.126000   340.549431
                179000  3624.419500   325.883962
                180000  3622.084000   327.572290
                181000  3610.080000   334.858453
                182000  3634.371000   336.309060
                183000  3632.121667   322.327560
                184000  3612.518167   335.401664
                185000  3617.573667   330.245724
                186000  3654.257833   316.827637
                187000  3649.613000   337.009553
                188000  3650.041500   341.867942
                189000  3672.728667   370.402573
                190000  3681.921000   377.879289
                191000  3715.705833   379.309890
                192000  3715.689000   393.805664
                193000  3678.349833   441.082733
                194000  3657.481667   472.575980
                195000  3625.374000   521.391874
                196000  3566.935667   557.834750
                197000  3525.073167   641.592489
                198000  3488.378500   684.683308
                199000  3444.814333   747.058597
                200000  3403.040167   830.901143
                201000  3350.585167   910.942578
                202000  3269.858000   973.107817
                203000  3191.242500  1041.362647
                204000  3145.573000  1107.885980
                205000  3061.914333  1194.680542
                206000  2962.549333  1276.343429
                207000  2921.795167  1323.414770
                208000  2860.685000  1411.397973
                209000  2806.911667  1431.930475
                210000  2770.577167  1462.555176
                211000  2756.040333  1489.403513
                212000  2784.914833  1492.883097
                213000  2791.537833  1467.402644
                214000  2799.831333  1467.719608
                215000  2846.474333  1440.245993
                216000  2875.827000  1400.369661
                217000  2912.414333  1347.085881
                218000  2916.493167  1293.085668
                219000  2957.721500  1225.559243
                220000  2958.386667  1152.727359
                221000  3034.786667  1052.852927
                222000  3117.772000  1001.240321
                223000  3195.266000   940.469372
                224000  3269.116167   861.155100
                225000  3344.916667   792.707414
                226000  3436.651167   721.454613
                227000  3501.908333   650.355963
                228000  3530.055667   551.704849
                229000  3566.763833   521.265098
                230000  3583.631833   481.829366
                231000  3630.129500   433.432616
                232000  3635.922167   416.188254
                233000  3676.393833   392.928546
                234000  3720.667500   366.478516
                235000  3718.083833   345.750347
                236000  3733.209000   335.082394
                237000  3726.761000   335.364794
                238000  3738.729333   348.002300
                239000  3740.044833   378.543620
                240000  3787.479667   369.702267
                241000  3771.268667   399.254731
                242000  3780.947000   402.058250
                243000  3797.469667   389.071019
                244000  3780.952333   394.058552
                245000  3781.861167   379.438293
                246000  3798.800667   364.988198
                247000  3783.430500   361.674036
                248000  3822.185833   385.686114
                249000  3854.133000   365.682749
                250000  3860.383333   396.867370
                251000  3838.186833   393.416344
                252000  3825.888333   423.616946
                253000  3803.192333   429.839105
                254000  3773.375833   439.550457
                255000  3790.095667   456.233487
                256000  3800.976167   455.525450
                257000  3836.408500   442.850247
                258000  3872.608833   455.178077
                259000  3890.840667   423.786307
                260000  3907.383500   414.663736
                261000  3923.187667   391.924153
                262000  3930.649167   377.366514
                263000  3926.795667   405.708863
                264000  3929.734167   419.267839
                265000  3945.390500   418.195320
                266000  3939.497667   431.508693
                267000  3983.254667   424.319570
                268000  4002.673167   415.599575
                269000  4001.091000   414.396191
                270000  4014.887167   379.153005
                271000  4046.160833   382.872048
                272000  4053.439167   375.412847
                273000  4058.363333   398.350025
                274000  4096.578500   393.589561
                275000  4098.992667   403.927391
                276000  4098.868833   394.475776
                277000  4077.083333   378.305185
                278000  4067.257833   374.300441
                279000  4057.944333   378.086382
                280000  4061.356500   383.781215
                281000  4067.706500   385.674307
                282000  4068.874500   397.119993
                283000  4099.788500   374.828091
                284000  4149.822000   361.016597
                285000  4158.901833   378.840905
                286000  4101.812333   419.983700
                287000  4062.279000   421.662102
                288000  4036.760833   409.924760
                289000  4047.742833   411.477512
                290000  4047.304500   421.092418
                291000  4032.243667   417.000656
                292000  4059.719833   391.399670
                293000  4071.556500   344.908844
                294000  4037.958000   360.992094
                295000  3982.072167   385.041668
                296000  3997.066333   390.019697
                297000  4018.879833   409.445249
                298000  4044.866000   395.465990
                299000  4062.229000   402.020746
                300000  4052.944833   403.303850
                301000  4063.699000   395.193266
                302000  4047.099167   394.020527
                303000  4037.169667   402.836369
                304000  4022.987333   410.421315
                305000  4016.140000   403.772630
                306000  4052.224667   376.374989
                307000  4081.318333   396.292291
                308000  4075.795667   427.014591
                309000  4043.763833   438.699148
                310000  3996.105333   443.053729
                311000  4012.646167   453.577103
                312000  4020.414667   459.824112
                313000  4037.161667   468.947080
                314000  4062.910000   459.265699
                315000  4101.417833   444.971936
                316000  4111.307500   452.913811
                317000  4117.693667   444.503446
                318000  4103.551500   428.290238
                319000  4108.539333   433.815036
                320000  4101.011333   437.692752
                321000  4103.921500   447.785122
                322000  4125.531167   454.859547
                323000  4134.964167   446.841202
                324000  4136.996500   435.695118
                325000  4151.129667   446.232868
                326000  4171.697833   429.306574
                327000  4180.757167   419.640261
                328000  4215.054500   405.670336
                329000  4250.453833   403.967537
                330000  4321.781667   385.387393
                331000  4332.833667   376.967060
                332000  4334.334333   377.887262
                333000  4309.511000   407.010017
                334000  4294.898167   413.131330
                335000  4309.526000   398.128678
                336000  4309.019000   400.820859
                337000  4278.886333   397.325562
                338000  4280.684500   398.601784
                339000  4285.671000   386.837663
                340000  4292.564000   394.699361
                341000  4278.934500   402.986134
                342000  4290.258667   396.880427
                343000  4261.214167   433.077542
                344000  4254.291000   437.197323
                345000  4256.672167   411.862213
                346000  4237.689167   421.307664
                347000  4222.526333   424.497451
                348000  4203.471000   426.547646
                349000  4193.931833   429.762516
                350000  4177.583667   457.042146
                351000  4160.058667   460.454974
                352000  4110.970667   470.235810
                353000  4094.168000   477.492356
                354000  4105.235167   462.324686
                355000  4105.782000   455.130323
                356000  4115.673333   448.776372
                357000  4114.501167   454.330301
                358000  4088.342167   484.431281
                359000  4068.076667   508.148549
                360000  4054.160167   521.310867
                361000  4050.947833   523.431124
                362000  4026.911833   523.858631
                363000  4036.611167   496.897272
                364000  4037.728167   483.383519
                365000  4017.064833   497.868235
                366000  4037.363833   502.352768
                367000  4039.300833   499.297758
                368000  4052.942500   492.540420
                369000  4049.204667   497.238231
                370000  4033.697833   483.775824
                371000  4061.638500   494.548340
                372000  4104.569333   487.319157
                373000  4142.476333   460.061578
                374000  4127.182833   449.716370
                375000  4161.510000   444.155775
                376000  4139.361333   439.260903
                377000  4172.494667   436.682461
                378000  4213.902500   422.096392
                379000  4223.498833   420.400550
                380000  4229.877000   384.813044
                381000  4248.086667   384.113349
                382000  4258.047833   366.858412
                383000  4289.411333   354.406120
                384000  4314.253167   361.554369
                385000  4346.702167   348.849553
                386000  4339.790333   343.508812
                387000  4351.603833   333.545133
                388000  4365.076667   333.941996
                389000  4367.645000   319.641825
                390000  4384.170000   336.140973
                391000  4376.934167   322.622259
                392000  4370.405000   337.374361
                393000  4386.429500   326.374964
                394000  4419.305833   330.624026
                395000  4374.182500   344.565598
                396000  4406.936167   357.914905
                397000  4418.006333   374.905691
                398000  4405.665333   362.061895
                399000  4416.987333   331.907602
                400000  4442.511500   342.002640
                401000  4451.302833   328.059435
                402000  4464.135167   328.363639
                403000  4451.705333   353.272915
                404000  4436.897333   357.555279
                405000  4421.221500   377.407089
                406000  4437.210167   370.843782
                407000  4442.038667   385.213367
                408000  4429.946167   382.963854
                409000  4455.104833   382.270627
                410000  4496.777500   354.532561
                411000  4495.005333   365.179130
                412000  4493.466667   334.279416
                413000  4498.426333   337.274380
                414000  4500.293500   339.978960
                415000  4522.331167   347.167538
                416000  4517.668833   330.831656
                417000  4530.659000   315.612114
                418000  4517.154167   340.223477
                419000  4509.324667   360.335381
                420000  4528.303667   368.701130
                421000  4537.895167   367.761765
                422000  4546.484833   371.737331
                423000  4561.523500   350.683550
                424000  4559.428667   370.567184
                425000  4579.551833   352.092003
                426000  4588.152500   347.528785
                427000  4588.938500   350.775710
                428000  4584.665000   382.485677
                429000  4556.194500   377.741492
                430000  4535.406000   401.972293
                431000  4542.783167   411.297060
                432000  4567.688500   428.548782
                433000  4551.347167   449.292968
                434000  4512.899167   465.931213
                435000  4511.320667   444.032710
                436000  4529.644667   448.994255
                437000  4521.807000   441.407628
                438000  4572.130833   415.608286
                439000  4613.988000   397.149562
                440000  4596.706167   377.695437
                441000  4594.419833   385.542136
                442000  4602.053667   395.690031
                443000  4595.574667   396.883527
                444000  4599.186833   368.350971
                445000  4588.145667   379.769714
                446000  4600.700500   376.155607
                447000  4601.486000   368.339991
                448000  4590.442667   383.233420
                449000  4613.869167   416.950471
                450000  4632.699333   395.401593
                451000  4639.195833   375.587303
                452000  4638.380333   372.426201
                453000  4644.883667   353.049255
                454000  4671.051333   340.996888
                455000  4674.778000   346.035812
                456000  4641.431000   382.537316
                457000  4648.911500   384.825884
                458000  4635.808667   395.900217
                459000  4609.434500   401.475784
                460000  4601.546667   404.148391
                461000  4600.793167   393.280036
                462000  4593.118667   393.604211
                463000  4592.942000   390.575238
                464000  4601.687000   399.792516
                465000  4616.622500   392.835496
                466000  4588.352833   399.615154
                467000  4574.263167   411.512381
                468000  4595.966500   361.667050
                469000  4585.678000   337.435122
                470000  4579.021333   336.999050
                471000  4576.932500   355.788498
                472000  4589.522833   347.815960
                473000  4606.959667   344.111475
                474000  4623.274000   332.979266
                475000  4636.678500   348.351761
                476000  4679.594667   313.339876
                477000  4626.721833   314.958403
                478000  4629.036000   308.458236
                479000  4634.596333   342.202928
                480000  4621.659000   348.274636
                481000  4592.058500   360.544039
                482000  4613.264500   352.479522
                483000  4611.045000   362.331211
                484000  4624.669000   356.309939
                485000  4609.043500   354.636134
                486000  4616.217167   372.147796
                487000  4635.766333   371.243382
                488000  4647.935333   394.428362
                489000  4671.051000   403.673442
                490000  4675.194000   404.553101
                491000  4655.698167   407.541771
                492000  4629.847667   412.430247
                493000  4605.225167   451.617385
                494000  4600.154667   480.405396
                495000  4584.720500   467.722838
                496000  4554.458833   500.588684
                497000  4577.020833   521.721778
                498000  4549.411333   577.662376
                499000  4540.609000   574.529147
                500000  4537.159833   639.571424
                501000  4534.079333   674.990655
                502000  4503.666667   709.831599
                503000  4484.674167   730.340695
                504000  4441.144333   787.656401
                505000  4414.069833   835.662265
                506000  4381.901833   828.412805
                507000  4373.596167   822.734347
                508000  4368.505833   815.356834
                509000  4343.480000   816.050887
                510000  4310.163000   846.804235
                511000  4307.404500   826.517957
                512000  4296.230333   841.669892
                513000  4301.211833   829.482443
                514000  4291.217833   820.366450
                515000  4317.818000   819.765108
                516000  4265.452667   830.954505
                517000  4265.010667   837.139371
                518000  4245.246667   844.475673
                519000  4237.039833   811.954940
                520000  4244.830500   759.252668
                521000  4250.747333   733.632035
                522000  4259.826833   727.577406
                523000  4253.923667   738.275901
                524000  4243.019167   721.636814
                525000  4230.688500   722.578357
                526000  4256.233333   740.914589
                527000  4233.217333   761.037978
                528000  4203.879333   782.834173
                529000  4167.063833   831.090562
                530000  4145.799167   833.252382
                531000  4098.786167   903.622965
                532000  4038.452667   964.217836
                533000  3967.896833  1032.101469
                534000  3901.097500  1111.826260
                535000  3815.743833  1204.828277
                536000  3803.967167  1240.242062
                537000  3770.105167  1305.040623
                538000  3745.890167  1337.743955
                539000  3719.678667  1435.990833
                540000  3663.087833  1509.105689
                541000  3613.036500  1573.528711
                542000  3572.296667  1629.694172
                543000  3543.252500  1685.342169
                544000  3526.510167  1736.395785
                545000  3509.021667  1755.046223
                546000  3479.764000  1797.274205
                547000  3467.583333  1807.725664
                548000  3472.402833  1805.929100
                549000  3510.472333  1750.108951
                550000  3528.310667  1729.296787
                551000  3592.839333  1670.189949
                552000  3670.124833  1617.570076
                553000  3767.766500  1539.081095
                554000  3811.225667  1474.832470
                555000  3874.054000  1395.331594
                556000  3951.682000  1326.579003
                557000  4009.386500  1244.940449
                558000  4067.888667  1152.396339
                559000  4118.691833  1067.852972
                560000  4188.905000   982.118809
                561000  4251.433833   922.099871
                562000  4309.754833   850.931397
                563000  4355.103000   758.397374
                564000  4424.420000   670.805639
                565000  4499.810500   596.844899
                566000  4545.068333   547.731463
                567000  4579.350333   535.796847
                568000  4585.825833   558.031240
                569000  4551.772833   619.967227
                570000  4517.046500   668.441443
                571000  4464.647167   730.276686
                572000  4402.708000   799.498276
                573000  4333.802333   884.348342
                574000  4310.821833   962.399136
                575000  4265.198167  1047.181621
                576000  4184.591667  1136.275347
                577000  4123.056000  1224.344515
                578000  4069.299500  1328.916080
                579000  4011.378667  1408.582727
                580000  3947.931833  1504.014127
                581000  3895.794833  1549.657045
                582000  3817.915667  1616.943097
                583000  3810.073833  1684.083661
                584000  3768.544833  1764.714071
                585000  3694.624667  1853.812040
                586000  3675.959500  1881.631565
                587000  3645.198667  1914.860095
                588000  3646.918333  1925.929738
                589000  3676.542000  1888.158491
                590000  3765.960500  1827.708534
                591000  3833.815333  1772.769064
                592000  3885.781500  1710.374486
                593000  3935.315500  1653.363667
                594000  3990.056167  1586.772051
                595000  4009.164333  1529.292671
                596000  4088.417500  1455.202489
                597000  4138.946833  1359.337005
                598000  4197.066333  1279.753643
                599000  4238.684667  1204.377948
                600000  4316.874333  1125.430925
                601000  4383.577167  1061.005288
                602000  4446.774000   990.260672
                603000  4466.242667   932.047903
                604000  4493.600833   873.934086
                605000  4566.000667   797.814975
                606000  4591.516500   753.535753
                607000  4636.870500   692.260391
                608000  4671.852667   644.261286
                609000  4684.167000   629.982242
                610000  4642.349333   664.465666
                611000  4645.154500   659.020380
                612000  4659.489667   632.892979
                613000  4667.614833   613.789788
                614000  4696.009833   576.009651
                615000  4700.582500   562.217743
                616000  4701.655500   547.598426
                617000  4689.766667   582.778087
                618000  4718.775500   555.564296
                619000  4738.090333   548.857700
                620000  4749.695333   534.595318
                621000  4730.501667   542.815072
                622000  4733.204167   544.408335
                623000  4724.276333   548.381447
                624000  4755.591333   518.053483
                625000  4752.206500   520.981287
                626000  4754.671333   518.159709
                627000  4739.239500   525.057839
                628000  4735.557167   528.235140
                629000  4764.865333   510.202346
                630000  4802.848500   476.549748
                631000  4780.949167   479.412925
                632000  4777.244667   485.995551
                633000  4790.701833   463.186388
                634000  4790.756667   452.657829
                635000  4838.849500   420.542748
                636000  4856.249833   414.197501
                637000  4870.704500   381.293735
                638000  4853.800000   395.855596
                639000  4849.359667   418.340797
                640000  4830.312333   407.648977
                641000  4857.283000   383.181371
                642000  4862.092167   384.409397
                643000  4875.555500   380.018437
                644000  4845.260667   385.992568
                645000  4841.248000   387.286445
                646000  4861.342500   385.010842
                647000  4883.082000   373.611838
                648000  4886.677333   348.602081
                649000  4868.879333   366.022818
                650000  4867.431167   365.079368
                651000  4892.866833   342.834597
                652000  4920.438500   321.302679
                653000  4924.662667   326.059051
                654000  4898.297667   358.271575
                655000  4897.399500   368.064839
                656000  4888.381833   363.480253
                657000  4902.042167   379.672854
                658000  4918.629833   375.986383
                659000  4931.760833   351.717680
                660000  4928.281667   375.085168
                661000  4907.979667   412.756719
                662000  4903.387833   409.097913
                663000  4887.020167   433.558824
                664000  4896.921000   428.487808
                665000  4914.073000   424.005152
                666000  4898.674500   425.671706
                667000  4899.888500   438.187828
                668000  4909.316500   445.918167
                669000  4927.118833   429.688018
                670000  4881.290667   462.126192
                671000  4838.401333   493.537480
                672000  4832.054667   506.183917
                673000  4807.843333   537.833583
                674000  4822.225667   519.173024
                675000  4828.318333   512.368336
                676000  4809.064833   535.208915
                677000  4820.797667   531.952710
                678000  4808.086500   521.427140
                679000  4778.318000   563.418317
                680000  4770.370500   604.030623
                681000  4729.820667   651.376224
                682000  4665.332500   731.242653
                683000  4625.851000   783.607181
                684000  4583.078167   884.590962
                685000  4503.815833   996.029216
                686000  4425.412500  1116.457490
                687000  4312.551667  1209.598991
                688000  4214.780833  1321.516207
                689000  4116.507833  1439.908933
                690000  4071.638000  1532.444409
                691000  4029.249500  1624.785351
                692000  3932.261000  1741.927078
                693000  3877.836167  1780.098984
                694000  3832.420500  1852.025194
                695000  3761.118500  1897.893744
                696000  3777.972167  1898.862706
                697000  3743.145167  1912.811879
                698000  3735.046333  1928.049973
                699000  3727.653833  1896.925490
                700000  3752.152333  1840.253612
                701000  3809.805167  1781.799153
                702000  3901.878833  1693.250531
                703000  3976.463333  1602.764193
                704000  4038.363833  1508.050308
                705000  4131.578667  1394.589542
                706000  4222.093000  1265.127622
                707000  4330.818667  1168.871386
                708000  4414.327333  1047.734338
                709000  4504.892833   937.213164
                710000  4570.133833   828.829827
                711000  4654.761333   712.087704
                712000  4754.571833   588.843109
                713000  4838.038333   516.735720
