 Environment Timesteps   Return Mean   Return Std
                     0    -37.827167   134.924774
                  1000    -45.329167   150.355032
                  2000    -42.063833   166.275489
                  3000    -45.284167   186.308357
                  4000    -42.453167   207.954430
                  5000    -34.544167   215.180795
                  6000    -17.214833   211.210592
                  7000    -24.463667   200.390665
                  8000    -24.452000   199.258892
                  9000    -18.714667   204.550064
                 10000     30.083333   243.594285
                 11000     67.693333   273.447267
                 12000    123.555167   298.666510
                 13000    164.730167   327.563677
                 14000    232.302500   349.011946
                 15000    289.062000   378.015342
                 16000    365.031833   413.193112
                 17000    438.506667   446.377250
                 18000    535.682333   465.240740
                 19000    632.879333   485.499949
                 20000    734.952833   505.414470
                 21000    852.046167   514.965018
                 22000    960.006333   530.051946
                 23000   1078.146000   555.954192
                 24000   1200.214333   568.317070
                 25000   1302.099833   612.391749
                 26000   1405.698667   656.279383
                 27000   1526.696833   719.132399
                 28000   1652.236833   761.137281
                 29000   1766.174000   821.281164
                 30000   1866.126333   818.667950
                 31000   1971.069833   835.747311
                 32000   2074.006167   848.855614
                 33000   2177.949500   868.377643
                 34000   2281.914500   854.488224
                 35000   2400.953167   837.997192
                 36000   2509.939500   825.427382
                 37000   2600.994000   819.233325
                 38000   2675.686833   826.136992
                 39000   2766.001333   828.172083
                 40000   2853.769333   816.584002
                 41000   2939.487667   806.670533
                 42000   3023.297667   795.615242
                 43000   3107.910667   769.915748
                 44000   3175.768333   762.930814
                 45000   3280.454667   725.729706
                 46000   3377.778167   693.974354
                 47000   3455.672000   659.438762
                 48000   3541.867167   633.390314
                 49000   3634.369500   583.851114
                 50000   3709.139667   562.735795
                 51000   3790.935500   534.923043
                 52000   3869.244167   497.906908
                 53000   3952.399500   465.780208
                 54000   4014.658500   465.453670
                 55000   4077.162833   447.988332
                 56000   4137.593667   433.150653
                 57000   4210.787333   417.618721
                 58000   4277.446333   409.788050
                 59000   4327.674500   398.680780
                 60000   4382.228167   395.139636
                 61000   4430.471667   387.528481
                 62000   4495.237333   381.897372
                 63000   4539.050000   389.685062
                 64000   4605.091667   386.779715
                 65000   4654.642000   369.842081
                 66000   4707.080500   359.826523
                 67000   4779.831000   347.793750
                 68000   4837.319000   335.238786
                 69000   4889.393333   328.872667
                 70000   4927.010000   317.218343
                 71000   4977.815167   305.579702
                 72000   5016.390000   300.956620
                 73000   5060.783333   285.249713
                 74000   5114.174000   269.089065
                 75000   5168.173167   262.864976
                 76000   5211.216333   242.361490
                 77000   5251.153333   234.803274
                 78000   5287.976167   219.898107
                 79000   5303.400833   259.013990
                 80000   5338.358000   253.713813
                 81000   5384.668500   252.988107
                 82000   5421.663667   242.057119
                 83000   5467.973333   232.938220
                 84000   5507.530000   224.935906
                 85000   5537.118833   230.901177
                 86000   5571.616833   227.243984
                 87000   5601.222833   215.247633
                 88000   5617.260667   227.091327
                 89000   5661.336833   222.107302
                 90000   5691.443333   218.896755
                 91000   5719.891167   223.138457
                 92000   5754.070167   224.471203
                 93000   5771.254000   225.533705
                 94000   5770.390333   231.475952
                 95000   5794.918833   229.412388
                 96000   5816.077500   230.414939
                 97000   5838.319500   229.691075
                 98000   5858.191167   227.186558
                 99000   5904.084333   181.248999
                100000   5927.656833   174.224960
                101000   5940.000833   173.301874
                102000   5951.043667   184.784657
                103000   5948.097667   188.157952
                104000   5947.837333   181.247935
                105000   5970.943500   179.446399
