 Environment Timesteps   Return Mean   Return Std
                     0    111.691833    99.971718
                  1000    183.349667   117.941172
                  2000    263.965000   131.201695
                  3000    343.339167   137.827993
                  4000    434.435000   155.840169
                  5000    539.546000   183.238720
                  6000    668.687833   199.873678
                  7000    806.019000   223.183632
                  8000    936.726833   231.141694
                  9000   1080.768667   231.716694
                 10000   1232.615167   243.414321
                 11000   1380.744833   258.216284
                 12000   1541.030500   267.943146
                 13000   1705.385667   274.567654
                 14000   1881.702833   287.822352
                 15000   2048.709833   288.930233
                 16000   2234.621833   293.010781
                 17000   2383.427333   282.965807
                 18000   2512.838667   284.214031
                 19000   2587.437333   278.765787
                 20000   2683.031333   289.358004
                 21000   2756.905500   281.626633
                 22000   2816.193500   286.840110
                 23000   2884.419000   291.873924
                 24000   2945.710333   290.617910
                 25000   2982.361833   278.918597
                 26000   3023.757500   272.828813
                 27000   3039.337000   274.013235
                 28000   3060.147167   269.968746
                 29000   3082.436667   286.121802
                 30000   3051.010333   313.124590
                 31000   3037.495000   342.699752
                 32000   2974.589500   404.249940
                 33000   2837.583000   449.510230
                 34000   2720.640500   533.211239
                 35000   2596.509167   607.973828
                 36000   2454.430833   674.257789
                 37000   2276.304833   668.984357
                 38000   2139.260500   691.730944
                 39000   2065.232500   729.163969
                 40000   2007.876333   789.819233
                 41000   1960.874000   862.116859
                 42000   1925.890167   928.525859
                 43000   1888.234833   999.746699
                 44000   1853.238667  1039.405098
                 45000   1835.345333  1089.816061
                 46000   1851.841667  1121.289455
                 47000   1889.071167  1121.333091
                 48000   1929.482667  1147.461695
                 49000   1948.368667  1153.955298
                 50000   2011.994667  1138.273052
                 51000   2064.291667  1114.140919
                 52000   2132.163333  1050.299812
                 53000   2271.286500  1019.056100
                 54000   2362.034000   942.824318
                 55000   2479.921667   881.532751
                 56000   2593.050167   848.606183
                 57000   2750.299500   879.841102
                 58000   2883.713167   868.006778
                 59000   2974.184000   845.488280
                 60000   3024.290167   794.389198
                 61000   3077.352000   743.608482
                 62000   3120.963000   672.629249
                 63000   3156.445667   604.253737
                 64000   3170.704333   560.567262
                 65000   3190.504167   513.166241
                 66000   3159.425500   468.134403
                 67000   3110.499000   451.857127
                 68000   3025.002833   441.753724
                 69000   2929.598833   450.153961
                 70000   2836.780167   475.435835
                 71000   2721.136833   504.623307
                 72000   2620.763833   509.071443
                 73000   2493.835500   523.028027
                 74000   2381.565000   536.299096
                 75000   2260.439667   555.141148
                 76000   2162.821000   565.528543
                 77000   2104.723667   610.652427
                 78000   2054.256167   671.861768
                 79000   2035.229000   696.682956
                 80000   2015.198500   728.322904
                 81000   2021.809667   751.387102
                 82000   2042.080833   777.058015
                 83000   2043.496667   814.183178
                 84000   2080.914667   818.216869
                 85000   2101.594167   823.035900
                 86000   2117.929333   840.500096
                 87000   2159.252333   857.767720
                 88000   2198.706000   889.797091
                 89000   2152.586333   927.808635
                 90000   2111.173667   955.325812
                 91000   2054.450167   937.699762
                 92000   2016.729667   972.252646
                 93000   2014.842833  1002.140487
                 94000   2049.313667  1059.082343
                 95000   2061.041167  1070.640189
                 96000   2141.633667  1124.831874
                 97000   2184.439167  1150.653475
                 98000   2268.887500  1125.714303
                 99000   2365.394833  1093.550022
                100000   2447.336333  1077.498298
                101000   2493.782000  1077.627794
                102000   2518.848000  1068.634834
                103000   2586.054500  1031.040537
                104000   2617.950000  1017.425347
                105000   2652.536833  1001.043042
                106000   2716.159500  1014.103333
                107000   2752.110167   991.898290
                108000   2817.634500   951.502345
                109000   2978.237000   898.010704
                110000   3147.964500   840.168671
                111000   3347.438833   833.288125
                112000   3538.674833   814.098422
                113000   3721.037167   762.602099
                114000   3877.551333   691.592077
                115000   4053.440500   667.276455
                116000   4089.064667   601.792694
                117000   4162.435167   526.066283
                118000   4128.513000   508.422957
                119000   4115.379000   510.270542
                120000   4101.122333   512.791661
                121000   4062.806000   514.395768
                122000   4060.339500   542.679825
                123000   4024.597500   577.029858
                124000   4022.623500   616.367467
                125000   3998.618500   695.663123
                126000   3942.040000   741.872336
                127000   3889.138500   800.370657
                128000   3839.740333   875.011742
                129000   3800.661667   948.881322
                130000   3780.979667  1023.515607
                131000   3790.513833  1103.326260
                132000   3777.344167  1175.641965
                133000   3780.285500  1272.231433
                134000   3758.356167  1349.981298
                135000   3735.872167  1428.338049
                136000   3746.868333  1471.246768
                137000   3677.715000  1545.401727
                138000   3666.710167  1611.954151
                139000   3588.083167  1692.385184
                140000   3514.313500  1758.261631
                141000   3519.939500  1828.948633
                142000   3457.417333  1848.503683
                143000   3378.957833  1901.915690
                144000   3274.740000  1946.353477
                145000   3195.518000  1926.124844
                146000   3137.993667  1925.403362
                147000   3117.590667  1928.324056
                148000   3163.634000  1905.654208
                149000   3227.462833  1890.711797
                150000   3250.999667  1860.909913
                151000   3279.606000  1804.216842
                152000   3336.371500  1718.641229
                153000   3401.236833  1634.377194
                154000   3476.853333  1555.811604
                155000   3562.526000  1465.667294
                156000   3661.189667  1396.041956
                157000   3780.675667  1305.523818
                158000   3923.935667  1244.930852
                159000   4021.229167  1242.899265
                160000   4091.338833  1281.331238
                161000   4122.094000  1313.620621
                162000   4170.892000  1386.349458
                163000   4344.948000  1395.208025
                164000   4516.422000  1400.216514
                165000   4668.103833  1440.809657
                166000   4794.775333  1482.669570
                167000   4920.416833  1550.920055
                168000   4915.179333  1604.703037
                169000   4957.630833  1650.047695
                170000   4890.152333  1741.236028
                171000   4840.703000  1854.969272
                172000   4770.321000  1993.759017
                173000   4697.815167  2126.357893
                174000   4732.315333  2160.821704
                175000   4621.811167  2301.133730
                176000   4486.703000  2467.637185
                177000   4400.540333  2633.376873
                178000   4348.465000  2761.915030
                179000   4358.322000  2837.918086
