 Environment Timesteps  Return Mean  Return Std
                     0   288.049333  147.237110
                  1000   336.504167  192.556321
                  2000   383.891167  228.626987
                  3000   426.386833  254.805410
                  4000   425.884167  258.560250
                  5000   447.455000  268.298038
                  6000   458.841167  268.018739
                  7000   480.612167  283.800914
                  8000   495.979333  306.407671
                  9000   533.811833  352.082113
                 10000   565.224667  353.260617
                 11000   616.569667  391.802646
                 12000   651.844500  414.921376
                 13000   675.308833  421.591157
                 14000   741.590667  458.075341
                 15000   790.575833  504.907028
                 16000   841.551833  539.027399
                 17000   937.389667  582.181534
                 18000   998.287333  558.626291
                 19000  1080.344833  586.671573
                 20000  1121.949333  576.110010
                 21000  1161.414500  579.921730
                 22000  1225.919000  590.244304
                 23000  1224.049500  588.943319
                 24000  1259.318333  609.415454
                 25000  1327.908500  657.890074
                 26000  1402.069667  688.607593
                 27000  1439.156500  725.817077
                 28000  1506.965167  729.109366
                 29000  1564.574000  712.044741
                 30000  1597.320333  744.139442
                 31000  1598.029000  704.959697
                 32000  1635.591167  690.170558
                 33000  1697.908833  725.957633
                 34000  1720.410833  730.863021
                 35000  1806.553833  691.729070
                 36000  1861.238333  687.987187
                 37000  1899.290833  648.793344
                 38000  1941.027667  631.913490
                 39000  1985.883167  593.165349
                 40000  2031.170500  591.367791
                 41000  2057.683667  589.291555
                 42000  2069.528500  588.512876
                 43000  2188.861667  565.244655
                 44000  2299.120667  550.359459
                 45000  2292.261333  504.900274
                 46000  2356.235667  484.924297
                 47000  2414.350333  485.544235
                 48000  2419.429667  504.471951
                 49000  2418.686500  514.358037
                 50000  2429.544500  519.308604
                 51000  2533.897833  520.447182
                 52000  2605.660500  525.997300
                 53000  2675.533333  487.107781
                 54000  2648.370500  506.175205
                 55000  2666.340500  507.270606
                 56000  2645.549333  525.495543
                 57000  2630.754167  561.349217
                 58000  2622.461167  585.680656
                 59000  2644.794333  585.272538
                 60000  2638.595000  601.630522
                 61000  2679.484833  571.794086
                 62000  2683.399500  581.052193
                 63000  2672.106000  594.902007
                 64000  2642.044000  634.722652
                 65000  2674.309000  674.057576
                 66000  2661.628500  700.764633
                 67000  2628.549333  694.504038
                 68000  2660.703000  703.778580
                 69000  2692.278167  693.798697
                 70000  2749.446667  680.756688
                 71000  2667.227500  740.790716
                 72000  2680.269500  731.693216
                 73000  2649.073833  776.360692
                 74000  2708.485000  771.189378
                 75000  2715.346833  763.173859
                 76000  2784.651833  715.895119
                 77000  2779.961833  731.550521
                 78000  2774.227000  753.093298
                 79000  2770.943167  759.133326
                 80000  2813.514500  714.596092
                 81000  2822.271833  702.964540
                 82000  2860.452833  652.973659
                 83000  2881.046167  643.827407
                 84000  2894.541667  640.681011
                 85000  2939.728167  591.939732
                 86000  2905.447167  597.830518
                 87000  2982.998833  553.173377
                 88000  3014.913167  505.361108
                 89000  3043.267833  482.056047
                 90000  3070.518167  457.724168
                 91000  3071.199833  454.765424
                 92000  3047.055167  488.897348
                 93000  3082.013167  439.160725
