 Environment Timesteps  Return Mean  Return Std
                     0   208.501333   32.172261
                  1000   217.674667   33.088508
                  2000   226.316667   33.345916
                  3000   233.095000   31.884787
                  4000   234.965500   33.143804
                  5000   234.067833   34.885376
                  6000   240.022333   36.826566
                  7000   245.954167   42.926814
                  8000   264.240333   52.416355
                  9000   266.586167   58.697643
                 10000   264.682500   64.017826
                 11000   263.204667   64.011095
                 12000   320.839167   94.336608
                 13000   385.101000  127.959130
                 14000   458.459833  168.186085
                 15000   491.961667  174.816445
                 16000   523.110500  194.535701
                 17000   546.512167  208.080924
                 18000   593.820000  236.219271
                 19000   660.438333  286.719794
                 20000   710.791500  334.656219
                 21000   760.533333  368.257594
                 22000   826.114667  415.505993
                 23000   867.589833  422.582796
                 24000   958.857000  460.167130
                 25000  1045.125333  497.754854
                 26000  1125.655667  540.117245
                 27000  1221.434833  582.372608
                 28000  1282.693500  610.990535
                 29000  1322.602833  618.958987
                 30000  1402.470167  660.444301
                 31000  1454.520500  679.580292
                 32000  1459.725000  699.695381
                 33000  1499.161833  706.426952
                 34000  1509.500667  706.864963
                 35000  1580.850500  750.320882
                 36000  1664.822667  769.245596
                 37000  1755.844667  807.669056
                 38000  1855.414000  784.224427
                 39000  1935.678333  735.253712
                 40000  2033.203333  692.902438
                 41000  2130.298833  664.641739
                 42000  2178.997333  666.062060
                 43000  2260.050833  701.368091
                 44000  2300.325167  691.368065
                 45000  2292.531500  695.764488
                 46000  2316.130833  707.764959
                 47000  2331.474000  702.014646
                 48000  2373.106167  699.583242
                 49000  2402.811167  738.218390
                 50000  2453.397500  703.278565
                 51000  2504.124667  736.495843
                 52000  2508.708500  731.903615
                 53000  2518.432500  744.570672
                 54000  2547.341333  752.877672
                 55000  2543.367500  756.261612
                 56000  2577.380167  730.932565
                 57000  2580.978500  706.794413
                 58000  2510.601333  764.027182
                 59000  2479.404500  801.719420
                 60000  2448.000167  854.273751
                 61000  2426.430333  895.713789
                 62000  2435.005000  895.021564
                 63000  2428.095333  908.640053
                 64000  2394.816167  937.213913
                 65000  2471.080333  897.439645
                 66000  2511.946667  848.921287
                 67000  2548.347667  807.704522
                 68000  2577.042000  776.592418
                 69000  2657.091167  727.045147
                 70000  2679.209333  720.112652
                 71000  2727.897000  674.768040
                 72000  2809.106667  634.111722
                 73000  2849.339667  581.395434
                 74000  2888.989833  538.821677
                 75000  2943.324500  491.897012
                 76000  2951.327500  484.402659
                 77000  2992.641000  462.640705
                 78000  3058.813833  423.228583
                 79000  3097.868333  389.671636
                 80000  3138.293167  336.774349
                 81000  3162.281167  303.670795
                 82000  3194.789667  255.929243
                 83000  3235.414833  202.773495
                 84000  3283.043000  150.359245
                 85000  3270.403167  158.638978
                 86000  3243.057667  189.993700
                 87000  3242.334833  189.509787
                 88000  3249.788667  187.169587
                 89000  3256.046833  184.006111
                 90000  3263.647500  184.057831
                 91000  3270.830167  179.013783
                 92000  3277.848000  178.287182
                 93000  3239.619333  235.827800
                 94000  3246.238667  231.754553
                 95000  3249.990333  228.868497
                 96000  3256.230667  224.856288
                 97000  3257.738500  223.190820
                 98000  3244.728833  228.094588
                 99000  3252.570833  224.830241
                100000  3257.997000  220.449087
                101000  3272.111333  207.512122
                102000  3274.994667  211.081098
                103000  3279.617667  211.133800
                104000  3294.508833  209.627886
                105000  3312.032500  200.967646
                106000  3352.107500  164.011427
                107000  3360.164167  161.133521
                108000  3363.277000  157.565049
                109000  3367.628833  157.008901
                110000  3370.950833  152.356017
                111000  3373.419167  152.148729
                112000  3374.038167  151.609433
                113000  3399.580833  113.589322
                114000  3403.959500  111.762683
                115000  3406.026667  108.177289
                116000  3406.359167  107.934521
                117000  3406.267500  105.685185
                118000  3438.480333   79.811910
                119000  3431.643500   85.380583
                120000  3430.836833   84.604097
                121000  3429.891500   83.366757
                122000  3433.234500   80.341619
                123000  3433.850167   76.824605
                124000  3435.554333   73.926606
                125000  3440.333333   70.656458
                126000  3442.435000   69.009395
                127000  3445.108333   66.715313
                128000  3448.590500   65.888346
                129000  3448.835000   66.758598
                130000  3451.035167   66.179220
                131000  3452.404000   63.855170
                132000  3457.953167   58.969432
                133000  3475.959167   35.063368
                134000  3477.298333   34.220405
                135000  3398.328500   90.447724
                136000  3397.384667   91.608134
                137000  3381.025833  119.246475
                138000  3385.578500  118.367840
                139000  3382.364167  124.391916
                140000  3380.202667  129.695518
                141000  3382.056167  130.858641
                142000  3380.084833  135.479541
                143000  3376.262167  140.796737
                144000  3369.967667  149.238759
                145000  3369.774333  149.519410
                146000  3369.651833  148.285716
                147000  3368.773333  149.991236
                148000  3367.005500  153.178876
                149000  3361.430500  157.238001
                150000  3361.512833  157.657606
                151000  3358.630500  160.428471
                152000  3358.618667  160.970797
                153000  3359.862500  161.917408
                154000  3358.287500  162.696461
                155000  3441.040000  107.561497
                156000  3444.264833  105.079396
                157000  3446.083833  100.163579
                158000  3445.645000  102.786213
                159000  3456.245000   91.088473
                160000  3447.718500  104.298416
                161000  3449.147667  103.274201
                162000  3454.708833   99.798995
                163000  3460.337000   94.893908
                164000  3457.979667   98.649150
                165000  3459.259167   97.487554
                166000  3458.778167   99.314215
                167000  3460.002333   98.134386
                168000  3459.680500   97.145538
                169000  3437.786667  127.807211
                170000  3437.336500  129.742731
                171000  3439.548500  128.729346
                172000  3439.958000  128.876716
                173000  3440.869167  129.593253
                174000  3433.246500  139.578051
                175000  3432.962167  138.136921
                176000  3419.599167  154.343575
                177000  3438.135000  131.694696
                178000  3437.109667  129.258391
                179000  3438.959333  128.178511
                180000  3453.624000  111.374548
                181000  3450.375667  112.242212
                182000  3448.965167  110.390659
                183000  3448.821833  109.909238
                184000  3459.192500   98.613667
                185000  3455.840833   99.876976
                186000  3455.762000   99.277383
                187000  3454.627333   99.695030
                188000  3456.332833   97.212104
                189000  3482.695167   61.645215
                190000  3481.382667   61.073881
                191000  3480.657000   61.382137
                192000  3480.797000   61.866256
                193000  3480.980167   60.776410
                194000  3489.117833   50.659929
                195000  3488.706500   50.665831
                196000  3500.181833   34.706214
                197000  3500.321333   32.518258
                198000  3500.312333   32.174439
                199000  3499.797500   32.710766
                200000  3499.417667   32.932096
                201000  3457.792667   93.059454
