 Environment Timesteps  Return Mean   Return Std
                     0   276.805667    52.893518
                  1000   280.819667    52.153206
                  2000   293.752167    52.670575
                  3000   293.501167    49.977880
                  4000   295.595667    49.369798
                  5000   301.940500    52.081063
                  6000   305.712500    49.499759
                  7000   299.689667    49.794056
                  8000   296.044500    50.828052
                  9000   297.390000    52.862459
                 10000   295.645000    49.307714
                 11000   290.835833    52.480156
                 12000   291.131167    51.650493
                 13000   286.345833    49.449828
                 14000   286.281500    50.090346
                 15000   289.704333    49.505238
                 16000   291.847500    47.545659
                 17000   294.479667    47.061411
                 18000   296.270833    49.916790
                 19000   298.903500    48.561083
                 20000   300.662000    49.312693
                 21000   301.818167    48.349257
                 22000   298.195167    50.896525
                 23000   301.614000    50.600811
                 24000   300.558333    50.435976
                 25000   300.249333    48.558388
                 26000   303.090167    49.843315
                 27000   306.102833    50.844368
                 28000   308.657167    51.827675
                 29000   310.918333    50.620458
                 30000   314.572000    50.495154
                 31000   320.962167    51.140806
                 32000   322.466167    49.939139
                 33000   324.395167    50.527450
                 34000   326.226833    49.965928
                 35000   326.190500    51.658226
                 36000   323.290333    56.353335
                 37000   318.523500    53.309320
                 38000   319.010833    50.388251
                 39000   320.899833    51.636017
                 40000   323.251000    49.722643
                 41000   324.697000    50.937849
                 42000   328.309333    50.933537
                 43000   329.286833    53.130309
                 44000   333.345667    53.550492
                 45000   330.767500    56.525365
                 46000   330.422333    57.692958
                 47000   335.090167    55.816151
                 48000   335.635500    54.705130
                 49000   338.466833    55.285469
                 50000   344.389500    58.248813
                 51000   343.999167    56.738940
                 52000   347.352500    56.166435
                 53000   350.484667    56.677812
                 54000   355.574833    58.386653
                 55000   359.810500    56.989688
                 56000   366.065667    50.830784
                 57000   368.045167    51.937132
                 58000   375.941500    52.250831
                 59000   375.784500    51.977407
                 60000   377.699500    50.762291
                 61000   379.351000    51.050983
                 62000   380.594000    53.099516
                 63000   385.455667    54.403190
                 64000   380.630667    55.632579
                 65000   377.921000    52.686463
                 66000   379.640667    52.195187
                 67000   380.533000    53.045964
                 68000   383.664833    57.478135
                 69000   382.875167    56.878699
                 70000   384.933500    54.858705
                 71000   383.813500    55.981156
                 72000   383.623333    56.146712
                 73000   386.730833    57.131045
                 74000   384.339333    56.473759
                 75000   388.939833    60.236465
                 76000   389.449500    60.560801
                 77000   390.804833    62.991227
                 78000   387.617667    63.356612
                 79000   387.273000    66.813329
                 80000   385.241500    67.722963
                 81000   389.785000    68.681750
                 82000   389.164833    64.660314
                 83000   385.464167    62.542553
                 84000   387.929833    62.389588
                 85000   391.839500    62.000352
                 86000   390.485000    61.868980
                 87000   389.658833    63.333302
                 88000   389.744167    58.065824
                 89000   393.962000    59.983737
                 90000   392.868500    59.530969
                 91000   394.789000    57.039741
                 92000   397.078333    56.651783
                 93000   397.545000    56.757718
                 94000   394.446500    56.195463
                 95000   389.018833    52.823119
                 96000   390.320333    53.823446
                 97000   395.977500    56.145283
                 98000   397.642833    57.169406
                 99000   397.395500    54.819288
                100000   398.914000    53.823016
                101000   397.162833    52.421829
                102000   397.545000    55.205774
                103000   399.484833    55.234960
                104000   399.953833    53.310515
                105000   401.897167    56.012235
                106000   406.231333    54.883705
                107000   412.579000    52.646429
                108000   414.973500    52.886018
                109000   413.476500    52.225126
                110000   412.004167    51.855731
                111000   414.346667    53.625916
                112000   414.212833    52.736723
                113000   415.389500    55.033910
                114000   415.707500    55.188426
                115000   422.550333    57.986973
                116000   420.524333    60.871106
                117000   420.094833    57.722917
                118000   420.845833    56.292611
                119000   428.436833    59.270732
                120000   430.055667    64.926021
                121000   433.854833    65.206359
                122000   437.308500    64.931161
                123000   444.334000    66.272992
                124000   450.289000    66.656077
                125000   451.784500    65.437415
                126000   450.238000    66.255717
                127000   445.959167    67.409072
                128000   444.776167    68.509948
                129000   444.615167    68.453574
                130000   444.356167    67.606386
                131000   445.624667    68.646560
                132000   442.331667    69.283809
                133000   442.802167    65.833766
                134000   447.487333    65.721759
                135000   444.702000    66.767839
                136000   442.789833    65.923574
                137000   444.886167    67.010799
                138000   444.933667    65.603528
                139000   441.145500    60.964320
                140000   444.799833    57.719760
                141000   444.425333    57.286894
                142000   469.649000    82.776913
                143000   472.635167    83.679098
                144000   476.638833    84.527126
                145000   473.847333    85.843788
                146000   472.420000    85.337415
                147000   478.316667    86.740137
                148000   479.137833    89.928187
                149000   482.544500    90.086047
                150000   481.529000    93.826559
                151000   482.715167    94.426808
                152000   489.451500    99.365642
                153000   495.235333   107.015853
                154000   497.948667   111.531704
                155000   505.570333   112.801156
                156000   520.713000   112.512835
                157000   530.474167   116.593302
                158000   543.086333   123.109332
                159000   553.751333   127.822860
                160000   559.352833   134.683120
                161000   559.789500   138.134789
                162000   540.726000   111.815373
                163000   532.853667   110.160821
                164000   589.234167   161.355310
                165000   596.697500   161.736867
                166000   602.522333   166.300442
                167000   603.555333   171.135250
                168000   677.852167   264.587130
                169000   679.741833   265.687923
                170000   698.695167   274.164337
                171000   710.661000   282.645625
                172000   729.357167   302.974030
                173000   791.755333   383.231923
                174000   796.939833   387.130709
                175000   796.839833   387.461070
                176000   795.992167   390.310994
                177000   823.088333   423.656036
                178000   839.508833   424.935892
                179000   836.867167   422.540888
                180000   846.320833   422.866784
                181000   850.144500   425.580295
                182000   859.757000   427.539986
                183000   916.955000   500.963344
                184000   875.093833   468.317849
                185000   984.640333   553.823210
                186000  1004.281167   552.837570
                187000  1010.141000   552.448519
                188000  1018.880667   555.519477
                189000  1089.774500   628.504012
                190000  1197.017000   699.361206
