 Environment Timesteps  Return Mean   Return Std
                     0   271.853333    62.988563
                  1000   287.314667    64.526915
                  2000   280.980667    63.672413
                  3000   290.788000    60.423323
                  4000   286.367333    60.764338
                  5000   276.992667    55.388317
                  6000   267.099667    60.589822
                  7000   243.369667    62.537146
                  8000   233.120667    55.328419
                  9000   221.951000    53.813938
                 10000   190.519333    51.048596
                 11000   176.844667    56.822778
                 12000   167.251667    59.812515
                 13000   167.586333    62.702449
                 14000   169.258667    64.736635
                 15000   181.190000    64.830869
                 16000   194.009333    63.265537
                 17000   211.381667    59.590438
                 18000   218.889667    58.558056
                 19000   225.331333    62.187870
                 20000   227.537333    64.447080
                 21000   221.728000    55.801813
                 22000   221.832333    60.850321
                 23000   221.065000    64.438912
                 24000   230.522000    68.683753
                 25000   230.116667    74.769232
                 26000   224.039667    71.857041
                 27000   205.897333    72.776427
                 28000   208.276667    81.028146
                 29000   197.134667    72.500311
                 30000   204.372667    74.489611
                 31000   222.485000    78.155118
                 32000   230.517000    79.067201
                 33000   239.579333    87.000940
                 34000   242.074333    89.540077
                 35000   246.766000    81.406077
                 36000   259.155333    87.147908
                 37000   278.043333    92.376133
                 38000   291.841667    83.395317
                 39000   294.606667    85.699729
                 40000   288.777000    85.563781
                 41000   284.447333    99.958258
                 42000   284.333000   100.230970
                 43000   273.385667    94.064926
                 44000   265.048333    94.645698
                 45000   250.707333    98.748755
                 46000   241.322333    89.054353
                 47000   240.557000    83.974979
                 48000   231.295000    97.604058
                 49000   241.200667   103.934648
                 50000   254.131333   111.007900
                 51000   261.132667   105.753596
                 52000   255.814000   100.498488
                 53000   258.508333    92.823893
                 54000   252.595667    88.365623
                 55000   258.300667    87.713721
                 56000   263.388667    91.760907
                 57000   261.998000    88.555987
                 58000   264.505333    78.424312
                 59000   271.289000    73.770615
                 60000   279.554667    64.585299
                 61000   277.308000    56.672443
                 62000   292.846000    50.442337
                 63000   305.463667    49.296832
                 64000   319.314333    45.739086
                 65000   324.362000    44.032980
                 66000   326.049333    42.486735
                 67000   322.690000    47.991710
                 68000   320.081333    54.473246
                 69000   325.115000    51.743221
                 70000   322.851667    53.856084
                 71000   329.044000    50.418479
                 72000   333.002333    52.036074
                 73000   332.747000    53.390372
                 74000   336.462333    58.425124
                 75000   339.655333    58.390297
                 76000   337.223333    58.646800
                 77000   341.567000    58.361049
                 78000   342.099667    61.415855
                 79000   330.532667    70.197683
                 80000   315.873667    75.684855
                 81000   301.477667    85.595099
                 82000   273.007000    82.394604
                 83000   251.098667    88.666011
                 84000   234.961667    94.716349
                 85000   221.663667   103.256525
                 86000   213.063667   113.892263
                 87000   198.115667   118.919815
                 88000   192.088333   124.077582
                 89000   194.531000   125.720360
                 90000   209.603333   130.928579
                 91000   213.229667   128.292367
                 92000   236.717333   130.797371
                 93000   250.911000   125.866234
                 94000   265.483667   114.464238
                 95000   288.691667   103.420416
                 96000   306.411333    92.685910
                 97000   325.178333    83.826859
                 98000   331.484333    70.420101
                 99000   335.988333    72.933226
                100000   334.619000    69.315322
                101000   341.143000    67.398641
                102000   337.991333    76.654833
                103000   347.172667    74.637205
                104000   346.085667    74.734180
                105000   336.117667    76.812667
                106000   339.974333    79.098943
                107000   338.304667    84.183312
                108000   340.604667    79.051272
                109000   343.155667    68.600740
                110000   339.999667    60.142972
                111000   337.991000    57.655809
                112000   342.001000    50.221555
                113000   333.541000    57.348091
                114000   334.065333    70.489158
                115000   332.743333    80.403108
                116000   314.503667    88.178763
                117000   301.926000    86.107408
                118000   300.869000   103.042804
                119000   294.252333   110.209115
                120000   298.352667   109.641789
                121000   299.180000   106.137634
                122000   303.288000   114.201140
                123000   316.637333   104.785472
                124000   313.508000    96.684649
                125000   315.776333    97.697953
                126000   330.162333   104.499187
                127000   341.926000   115.224546
                128000   344.885333   108.146256
                129000   351.261333   107.799444
                130000   364.846667   105.534066
                131000   373.294000   106.092972
                132000   377.083000    97.579513
                133000   368.968000    98.193810
                134000   379.146000    95.296694
                135000   386.999333    86.515667
                136000   384.072333    68.266279
                137000   394.701667    51.919403
                138000   404.013667    45.840284
                139000   406.332333    41.897496
                140000   401.878667    50.477993
                141000   403.425667    55.231520
                142000   391.892333    71.778297
                143000   379.468000    79.835577
                144000   362.491000    85.473815
                145000   352.788667    97.668199
                146000   343.341667   113.336285
                147000   321.522000   122.442436
                148000   311.001667   134.587632
                149000   299.365333   137.792025
                150000   295.513667   135.690842
                151000   287.064333   133.967613
                152000   297.635333   120.316480
                153000   313.741667   117.990338
                154000   332.042667   114.446276
                155000   338.187667   106.873503
                156000   353.514667    93.486955
                157000   376.855333    84.159508
                158000   390.701000    74.554753
                159000   405.460333    69.074584
                160000   407.777000    68.765964
                161000   412.716333    65.615671
                162000   409.132667    62.066238
                163000   410.526333    58.366989
                164000   408.305000    52.713267
                165000   408.730667    45.768107
                166000   407.468667    44.231306
                167000   403.472000    49.347362
                168000   393.140000    44.372445
                169000   397.614000    41.904340
                170000   393.317000    38.846479
                171000   399.043667    39.969318
                172000   399.617333    40.507943
                173000   374.989000    47.907945
                174000   368.212000    64.028410
                175000   364.239667    77.476630
                176000   355.490000    92.609988
                177000   351.370333   106.966696
                178000   341.983000   116.390515
                179000   331.645000   128.893771
                180000   326.378000   140.990211
                181000   322.854000   157.871271
                182000   325.301333   170.720499
                183000   353.686000   159.730811
                184000   370.774667   153.211070
                185000   375.791333   141.756927
                186000   386.708333   126.143853
                187000   396.443000   110.686719
                188000   419.666000   111.925192
                189000   441.154000   106.707447
                190000   474.570000   111.639810
                191000   495.801667    98.250461
                192000   508.663333    91.156819
                193000   512.590000   103.893648
                194000   527.301333   111.247593
                195000   541.689000   109.113450
                196000   561.971333   113.580200
                197000   564.564000   111.576178
                198000   569.950333   115.812244
                199000   567.332667   116.416800
                200000   583.949333   144.950994
                201000   615.388000   179.832273
                202000   627.394667   208.592368
                203000   642.363000   225.551205
                204000   633.818333   237.818534
                205000   662.973000   277.716016
                206000   638.052667   295.317138
                207000   628.852000   317.229587
                208000   625.737000   339.000543
                209000   628.897333   352.260934
                210000   603.118000   319.811350
                211000   577.142667   288.307513
                212000   568.940333   261.849983
                213000   577.022000   251.964589
                214000   614.661333   230.059818
                215000   600.622667   197.920931
                216000   632.244000   194.357779
                217000   687.248667   227.718788
                218000   694.693333   192.601458
                219000   716.884667   195.044698
                220000   735.214333   185.688781
                221000   783.176333   210.190069
                222000   799.383667   203.925357
                223000   823.318667   203.956837
                224000   802.550000   209.700198
                225000   833.031667   257.993816
                226000   852.284333   259.063570
                227000   828.015000   224.779533
                228000   875.198333   254.196129
                229000   922.631667   303.965557
                230000  1000.947667   394.830919
                231000   976.399333   388.622027
                232000   982.977333   395.085665
                233000  1062.508000   540.042753
                234000  1047.993000   527.219715
                235000  1055.013333   499.961981
                236000  1071.616000   534.297233
                237000  1065.456667   528.740244
                238000  1074.392333   554.989899
                239000  1028.522000   493.790367
                240000   950.081000   418.642856
                241000   915.774000   391.813124
                242000   902.943667   401.469323
                243000   789.462667   254.224226
                244000   850.361667   317.015617
                245000   879.869667   341.464785
                246000   878.660333   358.960420
                247000  1019.903000   549.055427
                248000  1059.316333   614.518679
                249000  1096.664667   644.227896
                250000  1096.573000   629.147958
                251000  1205.312000   717.474438
                252000  1333.465667   870.786584
                253000  1496.458333   998.934859
                254000  1580.972333  1052.737262
                255000  1519.358333  1012.535716
                256000  1504.010667   970.361118
                257000  1561.753667   943.289374
                258000  1559.474000   924.294108
                259000  1629.026333   990.407893
                260000  1832.640667  1165.320635
                261000  1879.406667  1256.715553
                262000  1946.028000  1270.205797
                263000  1867.259667  1254.301398
                264000  2119.792667  1227.808775
                265000  2303.951333  1410.323300
                266000  2307.617333  1413.357856
                267000  2328.768000  1405.532518
                268000  2431.633000  1491.424427
                269000  2476.972333  1583.867316
                270000  2594.294333  1473.666086
                271000  2739.045667  1426.717485
                272000  2657.145000  1313.923716
                273000  2813.709333  1369.373610
                274000  2612.320333  1396.472679
                275000  2683.346000  1402.422464
                276000  3042.466333  1481.969194
                277000  3037.723667  1496.511070
                278000  2955.791667  1397.966936
                279000  2915.243667  1338.801393
                280000  2760.563667  1474.039636
                281000  2762.717000  1507.452226
                282000  2860.431667  1581.339774
                283000  2820.022000  1594.459522
                284000  2921.654000  1696.826597
                285000  2842.741333  1676.775938
                286000  2605.069000  1764.925366
                287000  2581.783000  1722.630860
                288000  2617.790333  1750.930709
                289000  2547.643333  1667.619006
                290000  2369.899333  1470.621613
                291000  2075.327000  1312.487104
                292000  2031.899333  1377.098162
                293000  2041.306000  1270.973219
                294000  2119.369000  1206.841309
                295000  2250.775000  1162.513000
                296000  2135.112333  1003.839516
                297000  2262.007667   918.959744
                298000  2269.773333   925.693670
                299000  2578.767000   932.364190
                300000  2795.947000  1068.360394
                301000  3025.699667  1242.922020
                302000  3051.449667  1245.901884
                303000  3159.728000  1255.594704
                304000  2829.474333  1135.139584
                305000  2866.870333  1085.492983
                306000  3189.063000  1126.262601
                307000  2944.046000  1138.629150
                308000  3005.844333  1127.533229
                309000  2850.244667  1265.124567
                310000  2996.449667  1160.583773
                311000  2980.888333  1147.386490
                312000  2899.383333  1041.509633
                313000  2843.081000  1110.395133
                314000  3078.208333  1230.734845
                315000  2767.427667  1173.960637
                316000  2484.261333  1127.523089
                317000  2687.885667  1116.108406
                318000  2716.958000  1067.563769
                319000  2700.784333   982.515991
                320000  2628.753000  1163.249504
                321000  2726.092000  1138.923152
                322000  2757.426000  1180.201234
                323000  2872.996000  1118.518727
                324000  2778.730667  1055.151308
                325000  2896.441000  1232.401178
                326000  3097.317667  1309.082350
                327000  2924.416000  1370.874836
                328000  2956.505667  1430.285720
                329000  3056.795667  1508.107146
                330000  2929.652000  1430.885400
                331000  3009.315333  1382.216065
                332000  3063.202667  1434.083946
                333000  2906.241333  1525.145050
                334000  3089.999667  1564.584808
                335000  3316.177000  1441.168005
                336000  3333.334667  1462.096506
                337000  3536.656000  1514.120765
                338000  3511.854000  1547.235254
                339000  3350.584000  1431.483473
                340000  3489.550000  1459.293493
                341000  3334.782000  1488.861179
                342000  3509.415667  1445.676456
                343000  3591.667333  1440.784154
                344000  3456.444000  1487.732595
                345000  3305.103333  1540.290897
                346000  3368.624000  1578.751930
                347000  3397.297000  1555.142395
                348000  3566.123333  1451.523410
                349000  3787.622333  1485.567523
                350000  3795.489667  1485.157552
                351000  3852.464667  1539.324511
                352000  3782.137667  1557.862954
                353000  3657.675667  1499.389138
                354000  3708.479667  1509.312359
                355000  3744.910333  1523.119018
                356000  3689.014667  1525.668309
                357000  3770.667667  1496.403014
                358000  3579.033000  1625.981946
                359000  3529.021667  1730.785945
                360000  3646.468000  1624.984661
                361000  3679.174667  1576.932969
                362000  3758.272333  1483.595539
                363000  3837.905333  1542.509466
                364000  4045.732667  1370.371569
                365000  4220.434000  1268.819625
                366000  4407.374333  1105.593603
                367000  4354.231667  1101.136143
                368000  4624.550000   934.360470
                369000  4802.877667   733.354414
                370000  4831.003667   716.074867
                371000  4926.649333   639.611131
                372000  4978.383667   667.384292
                373000  5168.700000   507.608263
                374000  4936.766333   683.075652
                375000  4892.146000   735.096582
                376000  4877.428667   743.543603
                377000  4846.891667   742.878174
                378000  4790.532667   793.207549
                379000  4782.063667   792.667168
                380000  4766.549333   785.015597
                381000  4774.369333   788.607876
                382000  4833.925000   678.233706
                383000  4841.303333   712.128942
                384000  4904.386000   757.964511
                385000  4964.189667   686.282921
                386000  5000.718667   681.190210
                387000  5035.077000   653.596690
                388000  5010.085667   656.561075
                389000  4988.144667   675.379720
                390000  4952.390667   729.835560
                391000  4854.387667   776.264272
                392000  4773.251333   806.133927
                393000  4819.371667   741.025313
                394000  4954.966000   550.399521
                395000  4933.978333   626.937096
                396000  4829.233667   688.622173
                397000  4954.223000   604.395479
                398000  5022.250333   550.346556
                399000  5062.902667   517.125243
                400000  5081.870333   501.140030
                401000  5243.010000   427.403081
                402000  5310.091333   445.968750
                403000  5149.797333   630.345589
                404000  5041.561667   685.738119
                405000  5108.027667   585.676769
                406000  5193.139333   524.766410
                407000  5129.108667   590.552541
                408000  4893.180333   766.434684
                409000  4825.592667   820.218964
                410000  4740.293333   885.362389
                411000  4707.361000   920.415810
                412000  4641.520333   990.318793
                413000  4752.570333   868.666036
                414000  4904.516000   781.794701
                415000  4895.759000   773.393295
                416000  4755.877667   939.303428
                417000  4823.440000   872.417861
                418000  4940.248667   841.966672
                419000  5021.357667   792.089379
                420000  5167.864667   668.485733
                421000  5119.765333   708.349727
                422000  5198.284333   593.387448
                423000  5204.928000   563.114847
                424000  5199.293333   550.515665
                425000  5042.512333   756.890762
                426000  5162.539000   602.008410
                427000  5067.150667   707.447088
                428000  5148.627667   618.903185
                429000  5068.305000   666.468929
                430000  4781.264000   717.557922
                431000  4774.977000   732.357717
                432000  4773.847667   739.788322
                433000  4821.134333   710.793338
                434000  4796.345000   757.724460
                435000  4909.389000   588.695185
                436000  4880.615667   583.289325
                437000  4944.634000   502.994581
                438000  4922.243000   521.149120
                439000  4964.867667   501.731497
                440000  5162.623667   508.117758
                441000  5244.110000   401.474639
                442000  5243.280667   394.637052
                443000  5221.941000   395.630689
                444000  5227.267333   354.556651
                445000  5235.518333   329.197590
                446000  5129.095000   399.830640
                447000  5076.499000   437.525785
                448000  5131.676000   354.893480
                449000  5081.447667   397.376160
                450000  5109.811000   373.945523
                451000  4965.724000   531.638323
                452000  4860.728333   677.613097
                453000  4870.953000   670.611337
                454000  4745.176000   859.608326
                455000  4703.474667   947.773413
                456000  4858.355000   859.154386
                457000  4901.301000   835.665002
                458000  4808.006667   963.557233
                459000  4896.734333   896.120465
                460000  4972.809667   847.856305
                461000  5126.712000   682.031609
                462000  5224.497667   554.783989
                463000  5188.412333   589.162665
                464000  5340.894000   392.046878
                465000  5365.008333   381.441157
                466000  5318.615000   461.470775
                467000  5307.581667   493.714046
                468000  5422.433000   359.607905
                469000  5409.991000   357.103559
                470000  5331.751000   439.740609
                471000  5107.384000   614.756682
                472000  4785.208667   729.810901
                473000  4829.540667   693.280970
                474000  4679.337000   908.464153
                475000  4580.562333  1021.892566
                476000  4625.887667   960.598037
                477000  4590.586333   945.933592
                478000  4468.416000  1083.212267
                479000  4474.033333  1076.626134
                480000  4534.626333  1004.740593
                481000  4764.348333   821.593742
                482000  5075.638333   698.473626
                483000  5074.208333   703.032365
                484000  5210.375000   498.599126
                485000  5343.842667   318.368871
                486000  5347.048333   302.960241
                487000  5436.967667   244.885158
                488000  5395.915667   326.450499
                489000  5364.207000   367.296866
                490000  5340.429333   408.789073
                491000  5277.336667   505.551390
                492000  5310.807000   487.975593
                493000  5239.692667   575.557800
                494000  5174.457667   654.846359
                495000  5200.478667   634.416922
                496000  5208.918667   632.218619
                497000  5200.021000   642.392159
                498000  5281.965000   483.902086
                499000  5299.109000   455.930270
                500000  5260.648000   471.209401
                501000  5261.214333   427.515172
                502000  5257.211667   429.723591
                503000  5316.038333   347.658886
                504000  5387.687000   258.865036
                505000  5383.885000   259.531916
                506000  5313.127667   352.347187
                507000  5321.713333   341.874252
                508000  5247.531333   494.994451
                509000  5254.929667   493.815185
                510000  5157.432667   639.530394
                511000  5100.788333   687.761756
                512000  5096.736333   690.181704
                513000  5096.174667   695.203036
                514000  5054.041000   767.495658
                515000  5029.272000   801.210021
                516000  5091.767667   712.375578
                517000  5078.535000   720.813229
                518000  5141.487000   627.667343
                519000  4988.411000   828.348174
                520000  5147.168667   637.426136
                521000  5269.732000   536.210138
                522000  5248.720667   566.836313
                523000  5266.845000   550.520387
                524000  5319.435000   475.002816
                525000  5345.422667   446.478110
                526000  5253.140333   525.765377
                527000  5227.062667   572.028800
                528000  5149.983333   603.814670
                529000  5313.787333   394.600538
                530000  5301.253333   416.044067
                531000  5174.619333   598.828775
                532000  5085.778333   708.083350
                533000  4774.714333   928.718545
                534000  4742.199000   970.177616
                535000  4738.536000   965.812735
                536000  4668.633333  1086.870173
                537000  4705.740333  1031.655131
                538000  4792.070333   941.783548
                539000  4786.734667   939.221454
                540000  4780.323667   935.603291
                541000  4698.768333   946.995536
                542000  4762.837667   835.811496
                543000  5068.092667   616.852767
                544000  5047.610667   635.351803
                545000  4990.946667   705.884170
                546000  5137.491333   505.247067
                547000  5091.241667   569.010708
                548000  5016.645000   618.166155
                549000  5015.966333   617.681802
                550000  5001.808333   632.946045
