 Environment Timesteps  Return Mean  Return Std
                     0   123.158667   45.004900
                  5000   135.263500   45.642131
                 10000   148.532167   45.139310
                 15000   157.204333   42.414248
                 20000   165.514833   39.883987
                 25000   170.908167   36.148579
                 30000   172.342333   38.664164
                 35000   173.795667   38.798554
                 40000   175.442167   35.340574
                 45000   174.832833   33.601285
                 50000   178.928667   30.532190
                 55000   189.801000   30.926003
                 60000   195.624333   25.711288
                 65000   206.173833   26.847701
                 70000   209.311333   22.776284
                 75000   209.740333   22.196072
                 80000   203.354500   25.766466
                 85000   198.823167   28.323408
                 90000   194.908833   28.595491
                 95000   190.884833   30.348996
                100000   192.322833   27.108622
                105000   189.980833   27.067991
                110000   187.960333   27.698330
                115000   188.920500   27.746882
                120000   188.608667   27.436280
                125000   188.458000   28.531816
                130000   188.334500   27.674477
                135000   189.037667   28.280356
                140000   187.304167   30.796072
                145000   187.359167   30.657097
                150000   186.976667   32.017303
                155000   187.040833   32.092154
                160000   187.046000   31.809046
                165000   187.750500   31.036146
                170000   188.578833   30.670784
                175000   189.241833   30.697864
                180000   192.150167   27.848484
                185000   195.662000   24.726657
                190000   196.726667   24.753159
                195000   198.841500   22.753359
                200000   197.816500   25.322830
                205000   199.603000   25.132813
                210000   197.030500   29.085539
                215000   197.380667   29.824618
                220000   196.145833   31.341930
                225000   196.911167   30.363776
                230000   195.280333   32.838623
                235000   195.675500   32.463738
                240000   199.216833   28.433621
                245000   199.443167   28.726061
                250000   198.525500   28.824465
                255000   198.749500   28.776498
                260000   198.569167   28.783522
                265000   198.307333   28.028715
                270000   196.763500   28.393376
                275000   196.069000   28.112036
                280000   196.799333   26.808374
                285000   196.145667   26.652709
                290000   196.627167   24.905546
                295000   196.780167   24.946476
                300000   198.410667   22.011802
                305000   197.782833   21.901905
                310000   200.529333   17.604824
                315000   199.916333   16.519792
                320000   201.146500   14.655401
                325000   200.714167   14.249560
                330000   203.072167   10.785213
                335000   202.434667   10.394147
                340000   202.110167   10.665515
                345000   201.570667   10.095682
                350000   203.115833    7.858301
                355000   202.400833    7.594910
                360000   202.543667    7.437979
                365000   202.170000    7.488158
                370000   202.551167    7.049104
                375000   202.853333    6.862561
                380000   202.358000    6.582192
                385000   202.428667    6.631642
                390000   202.811167    6.279467
                395000   202.474500    6.187373
                400000   202.617167    6.131478
