 Environment Timesteps  Return Mean  Return Std
                     0   113.503667   52.616127
                  5000   124.192667   53.017780
                 10000   135.723333   53.191166
                 15000   142.168167   52.980454
                 20000   152.375000   51.040655
                 25000   158.083667   45.065801
                 30000   159.417500   37.671730
                 35000   168.633000   37.310092
                 40000   177.330000   36.901952
                 45000   183.454000   32.947950
                 50000   188.891167   28.527893
                 55000   184.523500   29.160876
                 60000   178.977000   29.385651
                 65000   174.605000   30.096086
                 70000   171.687000   28.046672
                 75000   177.226667   24.229889
                 80000   180.569000   21.765633
                 85000   179.748500   20.264837
                 90000   177.346833   20.994216
                 95000   176.877000   20.659037
                100000   177.270167   20.754552
                105000   176.523167   21.195321
                110000   175.821167   21.323030
                115000   173.657000   22.142475
                120000   172.667667   21.271953
                125000   172.579000   20.814569
                130000   170.564167   22.096236
                135000   169.895667   23.261627
                140000   169.586500   23.717432
                145000   169.987167   23.960247
                150000   170.594167   24.020151
                155000   171.519333   23.894766
                160000   172.524167   22.539375
                165000   174.725667   20.178333
                170000   179.190167   16.536164
                175000   180.177833   15.921132
                180000   180.919333   15.726964
                185000   181.538667   15.321620
                190000   184.220500   13.401933
                195000   185.152833   12.727159
                200000   185.040500   12.365603
                205000   185.643833   11.796609
                210000   185.875833   11.414636
                215000   187.423167   10.301812
                220000   188.290000   10.409998
                225000   187.854500   10.952996
                230000   189.830333    9.894406
                235000   189.125333   10.716660
                240000   189.267000   10.991766
                245000   189.482833   10.679489
                250000   189.182167   10.552588
                255000   189.910833    9.883560
                260000   190.344667    9.744968
                265000   190.167000    9.975390
                270000   190.559833    9.841900
                275000   190.612333    9.926789
                280000   191.083333    9.883565
                285000   191.296167    9.616090
                290000   191.256333    9.432090
                295000   191.361333    9.384429
                300000   191.705500    9.222415
                305000   192.163333    9.293553
                310000   192.753333    8.866198
                315000   192.781167    9.041527
                320000   192.698667    9.531789
                325000   192.946500    9.457782
                330000   193.185167    9.523719
                335000   195.175667    7.680882
                340000   195.837500    7.035943
                345000   196.198833    7.041503
                350000   196.815333    6.899442
                355000   196.362500    7.523376
                360000   195.681833    8.077602
                365000   196.166333    7.791676
                370000   195.972000    7.863176
                375000   195.980167    7.791052
                380000   194.750333    8.793121
                385000   193.858167   10.164061
                390000   193.133500   10.830382
                395000   192.833500   10.694598
                400000   192.664000   10.501838
