 Environment Timesteps  Return Mean  Return Std
                     0    387.26900   188.19250
                  1000    411.20825   200.64375
                  2000    422.96000   195.66650
                  3000    412.31650   183.32400
                  4000    425.76150   185.43550
                  5000    442.22700   181.95450
                  6000    453.12275   175.02925
                  7000    462.91025   163.33275
                  8000    476.41475   174.33275
                  9000    478.25525   170.11075
                 10000    476.78625   165.78425
                 11000    484.84075   167.89725
                 12000    487.89925   158.06775
                 13000    482.33350   163.35250
                 14000    485.77150   157.26600
                 15000    440.74475   127.65225
                 16000    434.48375   119.13125
                 17000    447.43200   128.76250
                 18000    457.98500   136.22300
                 19000    473.78425   135.24125
                 20000    481.59150   141.56000
                 21000    476.89850   133.96650
                 22000    487.44875   144.16025
                 23000    484.15100   140.95800
                 24000    483.80975   136.35625
                 25000    507.07750   165.44200
                 26000    518.77400   176.49250
                 27000    550.27025   212.42875
                 28000    564.26925   232.78025
                 29000    591.68500   264.34650
                 30000    627.19675   302.40025
                 31000    625.41550   303.15750
                 32000    605.11725   297.15775
                 33000    614.36425   309.40025
                 34000    622.91925   310.78325
                 35000    641.68850   317.27300
                 36000    642.52300   312.92850
                 37000    640.08650   303.35000
                 38000    650.36900   304.84100
                 39000    674.42550   319.80050
                 40000    679.74950   321.22900
                 41000    691.80125   317.30425
                 42000    681.37600   308.61700
                 43000    685.17000   308.29700
                 44000    694.43125   316.73475
                 45000    671.33525   290.72325
                 46000    673.10425   279.80125
                 47000    633.34200   242.10100
                 48000    601.25075   205.55525
                 49000    567.80400   175.62650
                 50000    533.78950   137.94100
                 51000    528.82200   134.29050
                 52000    543.11750   135.52850
                 53000    555.46175   117.16075
                 54000    542.38450   121.10150
                 55000    559.11425   117.43825
                 56000    576.35550   134.15550
                 57000    574.39475   136.17025
                 58000    570.44725   143.71975
                 59000    559.11425   141.00175
                 60000    552.45550   137.13900
                 61000    545.21075   144.35575
                 62000    557.54900   144.40250
                 63000    591.01375   181.20325
                 64000    595.05675   185.34875
                 65000    593.53850   188.60400
                 66000    583.12350   191.34900
                 67000    593.00100   201.11700
                 68000    636.90450   216.09800
                 69000    707.62150   221.23350
                 70000    781.47025   242.71075
                 71000    800.90225   256.40725
                 72000    840.18325   289.67425
                 73000    881.95725   327.87175
                 74000    893.19575   319.22125
                 75000    901.66300   336.32450
                 76000    908.09150   330.74050
                 77000    913.61275   342.48025
                 78000    915.41175   322.92075
                 79000    944.43950   313.20000
                 80000    990.65675   332.22525
                 81000   1013.78800   330.84850
                 82000   1034.52850   370.54800
                 83000   1027.27850   364.65350
                 84000   1037.21375   360.90025
                 85000   1094.43200   403.67300
                 86000   1133.22900   416.36600
                 87000   1165.72725   410.33075
                 88000   1133.18025   405.61025
                 89000   1093.50250   414.61250
                 90000   1026.62325   398.63125
                 91000   1015.16875   390.77475
                 92000    984.13950   358.92500
                 93000    963.51975   320.16125
                 94000    976.57950   348.86650
                 95000    971.99025   328.67525
                 96000    954.58800   329.51250
                 97000    976.02525   348.94675
                 98000   1002.52475   347.73025
                 99000    973.64075   343.59825
                100000    965.79825   321.73075
                101000   1047.71600   345.82900
                102000   1056.70850   326.97550
                103000   1079.10000   338.16050
                104000   1139.28600   356.95450
                105000   1116.09950   326.15900
                106000   1135.10725   345.01575
                107000   1134.69575   367.78625
                108000   1140.92175   359.94575
                109000   1150.56900   389.66450
                110000   1161.03200   398.55850
                111000   1162.89300   399.25550
                112000   1157.75150   408.61950
                113000   1141.46825   430.68475
                114000   1175.32125   440.75325
                115000   1244.97400   447.72750
                116000   1356.88425   430.99475
                117000   1417.00650   453.02500
                118000   1447.12125   530.63825
                119000   1590.23575   540.34775
                120000   1635.02650   597.42250
                121000   1641.65750   626.31500
                122000   1696.71500   672.96200
                123000   1725.53900   722.76550
                124000   1749.38125   769.04825
                125000   1816.65925   778.66675
                126000   1812.96800   789.48950
                127000   1893.55525   799.57175
                128000   1974.87825   852.70925
                129000   2055.34000   813.82850
                130000   2138.11825   865.43025
                131000   2211.84175   949.53425
                132000   2289.63125  1024.29175
                133000   2353.10075  1085.39825
                134000   2311.37050  1075.44850
                135000   2202.78175  1067.07725
                136000   2137.01650  1085.35550
                137000   2080.98225  1030.57275
                138000   2065.92775  1000.50325
                139000   1936.09975  1004.48675
                140000   1968.00275  1015.03925
                141000   1959.83025  1008.20175
                142000   1977.16550   976.94800
                143000   2009.32950   903.71900
                144000   1995.38975   843.92675
                145000   1973.51925   845.41275
                146000   1935.12975   820.19325
                147000   1865.91800   801.10600
                148000   1867.31150   828.47050
                149000   1869.11950   906.35800
                150000   1820.43775   853.60775
                151000   1816.65875   809.08525
                152000   1743.26400   736.63050
                153000   1680.79325   679.26225
                154000   1676.29550   663.00900
                155000   1824.83650   683.39700
                156000   1838.32600   707.24050
                157000   1970.18525   743.83425
                158000   2024.55350   764.86650
                159000   2132.30175   764.23875
                160000   2087.11650   717.10000
                161000   2087.65275   720.95025
                162000   2103.17800   753.17250
                163000   2108.14225   794.22525
                164000   2206.72900   791.12750
                165000   2271.39475   813.00975
                166000   2287.43025   813.52075
                167000   2334.32150   860.46550
                168000   2293.47200   804.52000
                169000   2247.48750   724.22250
                170000   2288.49525   752.95125
                171000   2341.03525   766.49175
                172000   2393.57250   772.94800
                173000   2470.72050   775.71650
                174000   2560.06075   768.17225
                175000   2453.72075   769.19425
                176000   2529.69225   758.98325
                177000   2426.56550   790.13900
                178000   2356.10475   760.91925
                179000   2294.22900   802.09050
                180000   2320.77250   846.09850
                181000   2310.05400   851.31700
                182000   2316.39650   810.41550
                183000   2380.66850   758.18950
                184000   2369.93050   761.98600
