 Environment Timesteps  Return Mean   Return Std
                     0   182.325000    89.196373
                  1000   185.706833    85.818638
                  2000   192.588833    84.004379
                  3000   192.823667    83.028275
                  4000   197.532500    83.154514
                  5000   194.214667    78.953672
                  6000   194.995000    78.558226
                  7000   192.765667    78.174667
                  8000   191.742167    77.536306
                  9000   188.325333    79.735708
                 10000   189.291500    80.242391
                 11000   187.234833    78.994684
                 12000   183.957333    73.767002
                 13000   184.210333    75.869299
                 14000   187.245833    75.796961
                 15000   181.244333    71.929364
                 16000   179.889833    71.755161
                 17000   179.879500    69.985606
                 18000   182.040500    65.754146
                 19000   180.727333    65.882226
                 20000   183.939500    66.492793
                 21000   187.339500    65.718843
                 22000   183.961333    64.283020
                 23000   179.573500    65.491597
                 24000   182.246833    61.574930
                 25000   185.476833    61.881932
                 26000   185.225833    58.968095
                 27000   191.351333    60.244469
                 28000   198.544500    59.067140
                 29000   204.886500    58.042285
                 30000   207.218833    57.985915
                 31000   209.314500    58.619409
                 32000   211.912000    56.446289
                 33000   214.839167    56.166103
                 34000   216.771333    52.891472
                 35000   218.120667    51.636384
                 36000   220.917667    49.428795
                 37000   221.225333    50.269759
                 38000   227.854167    57.310056
                 39000   236.031667    56.781072
                 40000   241.925333    53.849623
                 41000   248.316833    53.969516
                 42000   258.478167    50.252299
                 43000   272.281167    47.718931
                 44000   278.242500    48.434666
                 45000   285.548333    48.495084
                 46000   294.351500    51.194822
                 47000   300.658000    49.661708
                 48000   312.222167    50.387722
                 49000   330.311167    56.157715
                 50000   360.641333    80.098526
                 51000   379.062167    88.651893
                 52000   395.760500    91.787615
                 53000   410.093667    94.089599
                 54000   430.976667    96.254050
                 55000   443.109500    94.614210
                 56000   460.253667    99.397158
                 57000   476.989500   101.068013
                 58000   481.919000    96.934746
                 59000   491.909167    98.346464
                 60000   502.089000   100.255568
                 61000   504.073167   101.194476
                 62000   504.559167    99.961066
                 63000   509.096333   103.647489
                 64000   511.783667   103.484658
                 65000   525.225333   121.458300
                 66000   540.519833   132.438200
                 67000   555.177500   152.232732
                 68000   564.123667   168.425090
                 69000   558.196500   166.577180
                 70000   553.420333   157.603816
                 71000   628.682667   211.733034
                 72000   684.433500   257.474940
                 73000   715.635667   305.989257
                 74000   739.541167   327.819020
                 75000   790.737000   366.223097
                 76000   801.578500   378.067708
                 77000   822.913667   393.497243
                 78000   838.659000   406.948641
                 79000   855.380667   419.122812
                 80000   856.266333   423.267355
                 81000   875.938833   440.716002
                 82000   893.038167   460.808987
                 83000   911.379833   479.677319
                 84000   964.171500   522.479757
                 85000  1013.426833   565.878134
                 86000  1050.744167   600.167495
                 87000  1064.924333   608.737183
